0	AK	ARTIFICIAL NEURAL NETWORK (ANN)
0	AK	ELECTROMAGNETIC (EM) RADIATION
0	AK	GENETIC ALGORITHMS (GAS)
0	AK	MACHINE LEARNING
0	AK	MEANDERED LINE
0	AK	NATURE-INSPIRED ALGORITHMS
0	AK	SIGNAL INTEGRITY
0	AK	TOTAL RADIATED POWER (TRP)
1	AK	BIOINSPIRED
1	AK	MACHINE LEARNING
1	AK	UNMANNED AERIAL VEHICLE (UAV)
2	AK	FEATURE FUSION
2	AK	EXTREME LEARNING MACHINE
2	AK	HIERARCHICAL CLASSIFIERS
2	AK	SCENE CLASSIFICATION
3	AK	WRIST-WORN SENSORS
3	AK	WEARABLES
3	AK	HAND-TO-MOUTH GESTURES
3	AK	OVEREATING
3	AK	INERTIAL SENSORS
3	AK	MOTIF-BASED SEGMENTATION
3	AK	K-SPECTRAL CENTROID CLUSTERING
3	AK	FUSION
3	AK	CLASSIFICATION
3	AK	FEEDING GESTURE
4	AK	MULTI-SENSOR DATA FUSION
4	AK	HUMAN ACTIVITY RECOGNITION
4	AK	ENSEMBLE PRUNING
4	AK	BODY SENSOR NETWORKS
5	AK	FUSION OF MULTIPLE STATISTICAL PROCESS CONTROL TECHNIQUES
5	AK	MULTIVARIATE EXPONENTIALLY WEIGHTED MOVING AVERAGE
5	AK	AUTONOMIC NERVE DYSFUNCTION CLASSIFICATION
5	AK	BLIND SOURCE SEPARATION
5	AK	FUSION OF FEATURES AND DECISIONS
6	AK	BIG DATA
6	AK	FRAUD DETECTION
6	AK	STREAMING ANALYTICS
6	AK	MACHINE LEARNING
6	AK	SCALABLE SOFTWARE
6	AK	KAFKA
6	AK	SPARK
6	AK	CASSANDRA
7	AK	BRAIN-COMPUTER INTERFACES
7	AK	NEURAL DECODING
7	AK	KALMAN FILTERING
7	AK	GAUSSIAN PROCESS REGRESSION
7	AK	DISCRIMINATIVE KALMAN FILTER
8	AK	BRAIN-MACHINE INTERFACE
8	AK	DECODING
8	AK	RBM
8	AK	NEURAL PROSTHESIS
8	AK	NEURAL NETWORKS
8	AK	UNSUPERVISED LEARNING
9	AK	ADAPTIVE ALGORITHM
9	AK	ITERATIVE LEARNING CONTROL (ILC)
9	AK	MOTOR DRIVES
9	AK	PERMANENT MAGNET SYNCHRONOUS MOTOR (PMSM)
9	AK	ROBUST
9	AK	SLIDING MODE CONTROL (SMC)
9	AK	TORQUE RIPPLE
10	AK	STEGANALYSIS
10	AK	ADAPTIVE STEGANOGRAPHY
10	AK	EXPLICIT TRANSFORMATION
10	AK	NYSTROM APPROXIMATION
10	AK	SUPPORT VECTOR MACHINE
11	AK	BIOMETRICS
11	AK	AUTHENTICATION
11	AK	PRIVACY
11	AK	SECURITY
11	AK	IDENTITY MANAGEMENT SYSTEMS
12	AK	WIRE TENSION CONTROL
12	AK	ITERATIVE LEARNING CONTROL
12	AK	SLIDING MODE CONTROL
12	AK	MOTOR WINDING PROCESS
12	AK	DISTURBANCE OBSERVER
13	AK	UGC PHOTOS
13	AK	FLICKR
13	AK	DESTINATION IMAGE
13	AK	DATA MINING
13	AK	PHOTO RECOMMENDATION
14	AK	HISTOGRAM TEMPLATE MATCHING
14	AK	FACIAL EXPRESSIONS
14	AK	INCREMENTAL LEARNING
14	AK	LBP
14	AK	MACHINE LEARNING
15	AK	RNA FLEXIBILITY
15	AK	TEMPERATURE B-FACTOR
15	AK	SUPPORT VECTORS REGRESSION
16	AK	ANALYTICS
16	AK	CLASSIFICATION
16	AK	SUPPORT VECTOR MACHINES
16	AK	FEATURE SELECTION
16	AK	MACHINE LEARNING
17	AK	GRAPH MATCHING
17	AK	PARALLEL COMPUTING
17	AK	GRAPH EDIT DISTANCE
17	AK	PATTERN RECOGNITION
17	AK	LOAD BALANCING
18	AK	BAYESIAN INFERENCE
18	AK	MARKOV CHAIN MONTE CARLO (MCMC)
18	AK	GIBBS SAMPLING
18	AK	GAUSSIAN PROCESSES (GP)
18	AK	AUTOMATIC RELEVANCE DETERMINATION (ARD)
20	AK	DISTANCE METRIC LEARNING
20	AK	SEMI-SUPERVISED LEARNING
20	AK	INTRINSIC ALGORITHM
20	AK	MULTIPLE KERNEL
20	AK	NEAREST NEIGHBOR
21	AK	DIFFUSION TENSOR IMAGING
21	AK	MACHINE LEARNING
21	AK	FEATURE SELECTION
21	AK	CERVICAL SPONDYLOTIC MYELOPATHY
21	AK	DIFFUSION INDICES
22	AK	MACHINE LEARNING
22	AK	LANDSLIDE SPATIAL MODELING
22	AK	VARIABLES IMPORTANCE
22	AK	GIS
22	AK	IRAN
23	AK	HYBRID ARTIFICIAL INTELLIGENCE (AI) APPROACHES
23	AK	HANGINGWALL STABILITY PREDICTION
23	AK	MACHINE LEARNING
23	AK	FIREFLY ALGORITHM
23	AK	PERFORMANCE COMPARISON
23	AK	VARIABLE IMPORTANCE
25	AK	HYDROLOGIC TIME SERIES
25	AK	DAILY RUNOFF PREDICTION
25	AK	EXTREME LEARNING MACHINE (ELM)
25	AK	QUANTUM-BEHAVED PARTICLE SWARM OPTIMIZATION (QPSO)
25	AK	ARTIFICIAL NEURAL NETWORK
26	AK	PHYSICAL-BASED MODEL
26	AK	DATA-BASED MODEL
26	AK	BIOREMEDIATION
26	AK	BIOLOGICAL CLOGGING
27	AK	STOCHASTIC SAMPLING
27	AK	MARKOV CHAIN MONTE CARLO
27	AK	MCMC
27	AK	COMPUTATIONAL STATISTICS
27	AK	MACHINE LEARNING
27	AK	BFGS
27	AK	LANGEVIN METHODS
27	AK	BROWNIAN DYNAMICS
28	AK	DAILY PM10 FORECASTING
28	AK	ERROR CORRECTION
28	AK	FAST ENSEMBLE EMPIRICAL MODE DECOMPOSITION
28	AK	VARIATIONAL MODE DECOMPOSITION
28	AK	CUCKOO SEARCH
28	AK	EXTREME LEARNING MACHINE
29	AK	DISASTER MANAGEMENT
29	AK	SUPPORT VECTOR MACHINE
29	AK	SENTIMENT ANALYSIS
29	AK	TEXT CLASSIFICATION
29	AK	SOCIAL MEDIA ANALYSIS
29	AK	SITUATIONAL AWARENESS
30	AK	INTRUSION DETECTION
30	AK	SNORT AND SURICATA
30	AK	PERFORMANCE COMPARISON
30	AK	MACHINE LEARNING
30	AK	SUPPORT VECTOR MACHINE
30	AK	FUZZY LOGIC
31	AK	METRIC LEARNING
31	AK	MULTI-MODALITY
31	AK	EFFICIENCY
31	AK	GEOMETRIC MEAN
32	AK	CONVOLUTIONAL RECURRENT NEURAL NETWORKS
32	AK	PSEUDO LABELS
32	AK	CONSTRAINED DIRICHLET PROCESS MIXTURE MODEL
33	AK	FEATURE SELECTION
33	AK	COST-SENSITIVE
33	AK	IMBALANCED DATA
33	AK	F-MEASURE OPTIMIZATION
34	AK	AUTOMATION
34	AK	CLUSTERING METHODS
34	AK	DISCRETE WAVELET TRANSFORMS
34	AK	MACHINE LEARNING
34	AK	PATTERN MATCHING
35	AK	INFORMATION SECURITY
35	AK	AUTHENTICATION
35	AK	COMPUTER SECURITY
35	AK	NETWORK SECURITY
35	AK	NATURAL LANGUAGE PROCESSING
35	AK	MACHINE LEARNING
36	AK	INTRUSION DETECTION SYSTEM
36	AK	IMPERSONATION ATTACK
36	AK	DEEP LEARNING
36	AK	FEATURE EXTRACTION
36	AK	STACKED AUTOENCODER
36	AK	LARGE-SCALE WI-FI NETWORKS
37	AK	HAND VEIN INFORMATION
37	AK	GENDER CLASSIFICATION
37	AK	PERSONAL IDENTIFICATION
37	AK	TRANSFER LEARNING
37	AK	COARSE-TO-FINE
37	AK	TASK-DRIVEN
37	AK	LDM
37	AK	SUPERVISED FEATURE SELECTION
38	AK	AGE ESTIMATION
38	AK	CONVOLUTIONAL NEURAL NETWORK
38	AK	ENSEMBLE
38	AK	EXTREME LEARNING MACHINE
39	AK	INDIVIDUAL TREE CROWN SEGMENTATION
39	AK	ENSEMBLE REGRESSION AND CLASSIFICATION
39	AK	MACHINE LEARNING
39	AK	DATA INTEGRATION
39	AK	SPECTRALLY AND STRUCTURALLY SIMILAR TREE SPECIES
40	AK	OFF-LINE WRITER IDENTIFICATION
40	AK	HANDWRITTEN CONNECTED COMPONENTS
40	AK	TEXT INDEPENDENT
40	AK	HANDWRITTEN DOCUMENTS
40	AK	FEATURE EXTRACTION
40	AK	1-NN CLASSIFIER
40	AK	HAMMING DISTANCE
41	AK	ONLINE LEARNING
41	AK	ACTIVE LEARNING
41	AK	CLASSIFICATION
41	AK	SOCIAL MEDIA
41	AK	CRISIS MANAGEMENT
42	AK	FIDUCIAL MARKERS
42	AK	AUGMENTED REALITY
42	AK	MACHINE LEARNING
42	AK	CONVOLUTIONAL NEURAL NETWORKS
42	AK	SUPPORT VECTOR MACHINES
42	AK	MULTILAYER PERCEPTRON
43	AK	FEATURE SELECTION
43	AK	INFORMATION THEORY
43	AK	FEATURE RELEVANCY
43	AK	FEATURE INTERDEPENDENCY
44	AK	PHOTOVOLTAIC SYSTEM
